# 原文	译文	风险	出现次数	出现于
◆ 現在の称号			1	template/user/SetTitlePopup.html
◆ 変更する称号			1	template/user/SetTitlePopup.html
・Story Voices			1	template/config/ConfigTop.html
・Transformation Videos			1	template/config/ConfigTop.html
結界スケジュール			1	template/quest/EventQuest.html
強化ジェム			1	template/quest/EventQuest.html
ブック・覚醒素材			1	template/quest/EventQuest.html
フレンド一覧			1	template/quest/PreQuestPopup.html
魂と鏡を調整する			1	template/quest/puellaHistoria/MirrorParts_debug.html
概要ポップ			1	template/quest/puellaHistoria/MirrorParts_debug.html
解放ポップ			1	template/quest/puellaHistoria/MirrorParts_debug.html
クリア演出表示			1	template/quest/puellaHistoria/MirrorParts_debug.html
鏡の幅:			1	template/quest/puellaHistoria/MirrorParts_debug.html
鏡の縦のズレ:			1	template/quest/puellaHistoria/MirrorParts_debug.html
※縮尺は「1」が100%になります			1	template/quest/puellaHistoria/MirrorParts_debug.html
※isClearには「true」「false」を入れてください			1	template/quest/puellaHistoria/MirrorParts_debug.html
マップへ戻る			1	template/quest/puellaHistoria/lastBattle/GroupRaid.html
天気輪の魔力を使用する			1	template/quest/puellaHistoria/lastBattle/MainBossPopup.html
株分け			1	template/quest/puellaHistoria/lastBattle/SubBossList.html
制圧中の腕をタップすることで制圧状態を解除できます			1	template/quest/secondPartLast/Top.html
特訓したい魔法少女を選んでください			1	template/event/training/EventTrainingCharaSelect.html
エクストラ			1	template/event/training/EventTrainingTop.html
ミッションクリア			1	template/event/singleraid/EventSingleRaidSelect.html
エリア解放条件			1	template/event/singleraid/EventSingleRaidTop.html
ランキングPt			1	template/event/arenaranking/EventArenaRankingHistory.html
解放されていく枠内のクエストを全てクリアすることで特別な報酬が入手できます。			1	template/event/dailytower/EventDailyTowerTop.html
を解放			1	template/event/dailytower/EventDailyTowerTop.html
クリアターン数			1	template/event/dailytower/EventDailyTowerTop.html
該当するログはありません			1	template/event/dailytower/EventDailyTowerTop.html
イベントトップに戻る			1	template/event/EventArenaRankMatch/Result.html
クールタイム			1	template/event/EventArenaRankMatch/Top.html
いくつ使用しますか？			1	template/event/EventArenaRankMatch/parts/AttackCountItemPopup.html
回復します。			1	template/event/EventArenaRankMatch/parts/AttackCountPopup.html
クールタイムを解除します。よろしいですか？			1	template/event/EventArenaRankMatch/parts/CoolTimePopup.html
デイリー報酬を受け取りました。			1	template/event/EventArenaRankMatch/parts/DailyPresentPopup.html
※受け取ったアイテムは直接付与されています。			1	template/event/EventArenaRankMatch/parts/DailyPresentPopup.html
報酬なし			1	template/event/EventArenaRankMatch/parts/EventRewardLastRankTable.html
現在の順位			1	template/event/EventArenaRankMatch/parts/EventRewardPopup.html
■ランクアップ報酬			1	template/event/EventArenaRankMatch/parts/EventRewardPopup.html
ランキングの最高順位を更新すると、マギアストーンが獲得できます。			1	template/event/EventArenaRankMatch/parts/EventRewardPopup.html
■デイリー報酬			1	template/event/EventArenaRankMatch/parts/EventRewardPopup.html
イベント期間中に到達したランキングの最高順位に応じて			1	template/event/EventArenaRankMatch/parts/EventRewardPopup.html
1日1回「ランクメダル」が獲得できます。			1	template/event/EventArenaRankMatch/parts/EventRewardPopup.html
イベント終了後に決定したランキングの順位に応じて			1	template/event/EventArenaRankMatch/parts/EventRewardPopup.html
エンブレムと「みたまの勲章」が獲得できます。			1	template/event/EventArenaRankMatch/parts/EventRewardPopup.html
エンブレム			1	template/event/EventArenaRankMatch/parts/EventRewardPopup.html
みたまの勲章			1	template/event/EventArenaRankMatch/parts/EventRewardPopup.html
クエストクリア数			1	template/event/branch/EventBranchTop.html
ウィンドウ外タップで閉じる			1	template/event/branch/EventBranchTop.html
舞台装置の魔女			1	template/event/EventWalpurgis/MainBossPopup.html
希望の羽を使用する			1	template/event/EventWalpurgis/MainBossPopup.html
舞台装置の魔女の手下			1	template/event/EventWalpurgis/SubBossList.html
CPは最大です。			1	template/event/dungeon/EventDungeonCurePopupParts.html
CP回復薬がありません。			1	template/event/dungeon/EventDungeonCurePopupParts.html
CP回復薬を使用して全回復しますか？			1	template/event/dungeon/EventDungeonCurePopupParts.html
チーム情報			1	template/event/dungeon/EventDungeonMap.html
メンバー入れ替え			1	template/event/dungeon/EventDungeonMap.html
回復したい魔法少女を選んでください			1	template/event/dungeon/EventDungeonMap.html
進むポイントを選択してください			1	template/event/dungeon/EventDungeonMap.html
回復アイテムを１つ使用して			1	template/event/dungeon/EventDungeonMap.html
を回復しますか？			1	template/event/dungeon/EventDungeonMap.html
回復アイテムがありません。			1	template/event/dungeon/EventDungeonMap.html
回復アイテムは毎日16:00に補充されます。			1	template/event/dungeon/EventDungeonMap.html
このエリアをリタイアしますか？			1	template/event/dungeon/EventDungeonMap.html
※これまでに獲得したEXP・カースチップ（CC）・宝箱のアイテムは入手できます。			1	template/event/dungeon/EventDungeonMap.html
※エリアミッションのクリア状況はリセットされます。			1	template/event/dungeon/EventDungeonMap.html
クリア(初クリア・初コンプ)			1	template/event/dungeon/EventDungeonTop.html
クリア(獲得済・未コンプ)			1	template/event/dungeon/EventDungeonTop.html
クリア(獲得済・コンプ済)			1	template/event/dungeon/EventDungeonTop.html
ユニット編成Navi			1	template/event/dungeon/EventDungeonTop.html
30秒デバッグメニュー非表示			1	template/event/dungeon/EventDungeonTop.html
全ポイント通過済			1	template/event/dungeon/EventDungeonTop.html
通過ポイント数			1	template/event/dungeon/EventDungeonTop.html
バトル数			1	template/event/dungeon/EventDungeonTop.html
エリアクリア報酬			1	template/event/dungeon/EventDungeonTop.html
コメントアニメ			1	template/event/storyraid/EventStoryRaidBoss.html
コメント			1	template/event/storyraid/EventStoryRaidBoss.html
同じエリアで戦うプレイヤーに応援コメントを送りましょう！			1	template/event/storyraid/EventStoryRaidBoss.html
※攻撃力アップは、本エリア内の交戦中バトルのみ有効となり、			1	template/event/storyraid/EventStoryRaidBoss.html
2回目以降の投稿には適応されません。			1	template/event/storyraid/EventStoryRaidBoss.html
投稿する			1	template/event/storyraid/EventStoryRaidBoss.html
サンプルまま			1	template/event/storyraid/EventStoryRaidTop.html
移動カットイン			1	template/event/storyraid/EventStoryRaidTop.html
移動カットイン（最終）			1	template/event/storyraid/EventStoryRaidTop.html
撃破カットイン			1	template/event/storyraid/EventStoryRaidTop.html
マップエフェクト			1	template/event/storyraid/EventStoryRaidTop.html
参加条件ポップ			1	template/event/storyraid/EventStoryRaidTop.html
フィナーレ演出			1	template/event/storyraid/EventStoryRaidTop.html
手に入れた衣装に着替えることができます			1	template/event/arenaMission/EventArenaMissionResult.html
メモリア「			1	template/event/arenaMission/EventArenaMissionResult.html
」を手に入れました			1	template/event/arenaMission/EventArenaMissionResult.html
メモリアは直接付与されています			1	template/event/arenaMission/EventArenaMissionResult.html
のデスティニージェムを手に入れました			1	template/event/arenaMission/EventArenaMissionResult.html
デスティニージェムは直接付与されています			1	template/event/arenaMission/EventArenaMissionResult.html
アイテムは直接付与されています			1	template/event/arenaMission/EventArenaMissionResult.html
は獲得できません			1	template/event/arenaMission/EventArenaMissionResult.html
パーティPt +			1	template/event/arenaMission/EventArenaMissionStage.html
ミッション内容確認			1	template/event/arenaMission/EventArenaMissionStage.html
が獲得できません			1	template/event/arenaMission/EventArenaMissionTop.html
ステージクリア報酬一覧			1	template/event/arenaMission/EventArenaMissionTop.html
クリア条件			1	template/event/arenaMission/EventArenaMissionTop.html
クリア報酬			1	template/event/arenaMission/EventArenaMissionTop.html
チャレンジクエストを解放しました！			1	template/event/accomplish/CompleteAnimation.html
チーム切替			1	template/event/accomplish/EventAccomplishDeck.html
を解散しますか？			1	template/event/accomplish/EventAccomplishDeck.html
※装備中のメモリアも全てはずれます			1	template/event/accomplish/EventAccomplishDeck.html
スキル効果			1	template/event/accomplish/EventAccomplishEnemyDetail.html
回復回数は16時にリセット			1	template/event/accomplish/EventAccomplishRecovery.html
回復したい魔法少女を選択してください			1	template/event/accomplish/EventAccomplishRecovery.html
回復が必要な魔法少女は存在しません			1	template/event/accomplish/EventAccomplishRecovery.html
セクションクリア報酬一覧			1	template/event/accomplish/EventAccomplishTop.html
5クエスト毎に現れるボスを撃破することで特別な報酬が入手できます。			1	template/event/accomplish/EventAccomplishTop.html
チャレンジクエストは、全てのストーリークエストをクリア後に解放されます。			1	template/event/accomplish/EventAccomplishTop.html
RPは最大です。			1	template/event/raid/EventRaidCurePopupParts.html
RP回復薬がありません。			1	template/event/raid/EventRaidCurePopupParts.html
RP回復薬を使用して全回復しますか？			1	template/event/raid/EventRaidCurePopupParts.html
手下タップ			1	template/event/raid/EventRaidTop.html
ボスタップ			1	template/event/raid/EventRaidTop.html
サスペンド			1	template/event/raid/EventRaidTop.html
手下再湧き			1	template/event/raid/EventRaidTop.html
バトル回数			1	template/event/raid/EventRaidTop.html
援護ボーナス！			1	template/event/raid/EventRaidTop.html
バトル参加			1	template/event/raid/EventRaidTop.html
ダメージ値			1	template/event/raid/EventRaidTop.html
ミラーズPt+			1	template/arena/ArenaFreeRank.html
リプレイがありません			1	template/arena/ArenaHistory.html
対戦履歴がありません			1	template/arena/ArenaHistory.html
再生するリプレイのIDを入力してください。			1	template/arena/ArenaHistory.html
貼り付け			1	template/arena/ArenaHistory.html
これ以上、対戦相手を変更することはできません。			1	template/arena/ArenaRanking.html
BP回復薬を1個使用することで対戦回数を			1	template/arena/ArenaRanking.html
以下の時間が経過すると、自動で対戦相手が再抽選されます。			1	template/arena/ArenaRanking.html
(対戦相手の再抽選まであと			1	template/arena/ArenaRanking.html
次の鏡層まで			1	template/arena/ArenaResult.html
次の鏡層が解放されていないため、ミラーズPtは加算されません			1	template/arena/ArenaResult.html
演習ではミラーズコイン・ミラーズPtを獲得できません			1	template/arena/ArenaResult.html
ブレイクチャンス			1	template/arena/ArenaResult.html
基本スコア			1	template/arena/ArenaResult.html
ミラーズコイン×			1	template/arena/ArenaResult.html
◆ ランキング			1	template/arena/ArenaReward.html
クラス		疑似碎片	1	template/arena/ArenaReward.html
演習で対戦するプレイヤーのミラーズIDを入力してください。			1	template/arena/ArenaSimulate.html
ミラーズID発行			1	template/arena/ArenaSimulate.html
ミラーズIDは、発行後1時間有効です。			1	template/arena/ArenaSimulate.html
※ミラーズID発行中は、再発行はできません。有効期限終了後から再発行が可能です。			1	template/arena/ArenaSimulate.html
※対戦を行ったプレイヤーとは10分間は再戦を行うことができません。			1	template/arena/ArenaSimulate.html
サポートLV			1	template/follow/FollowSearch.html
ユーザー名			1	template/follow/FollowSearch.html
サポート属性			1	template/follow/FollowSearch.html
フレンドID			1	template/follow/FollowSearch.html
最終ログイン			1	template/follow/FollowSearch.html
おすすめ検索			1	template/follow/FollowSearch.html
検索する			1	template/follow/FollowSearch.html
ログイン時間&nbsp;			1	template/follow/FollowSearch.html
初期ディスク			1	template/card/CardPopup.html
ComposeTopへ			1	template/card/ComposeResult.html
エピソードLv:			1	template/card/ComposeTop.html
次のレベルまで:			1	template/card/ComposeTop.html
限界突破しますか？			1	template/card/ComposeTop.html
遊び方詳細			1	template/tutorial/TutorialNavi.html
コンプリート報酬GET			1	template/mission/PanelMissionTop.html
パトロール編成			1	template/patrol/PatrolDeckView.html
パトロール			1	template/patrol/PatrolTop.html
GachaResultへ			1	template/gacha/GachaAnimation.html
ガチャ提供割合			1	template/gacha/GachaProbabilityPop.html
ピックアップ対象魔法少女			1	template/gacha/GachaProbabilityPop.html
ピックアップ対象メモリア			1	template/gacha/GachaProbabilityPop.html
ガチャから取得したメモリアを			1	template/gacha/GachaSaleSettingPopup.html
自動的に売却することができます。			1	template/gacha/GachaSaleSettingPopup.html
チェックを付けた項目のメモリアのみ売却されます。			1	template/gacha/GachaSaleSettingPopup.html
イベントBONUS			1	template/gacha/GachaSaleSettingPopup.html
3 が自動売却の対象に選択されています。			1	template/gacha/GachaSaleSettingPopup.html
無料で			1	template/gacha/GachaTop.html
を行います。よろしいですか？			1	template/gacha/GachaTop.html
でガチャを行うことができます			1	template/gacha/GachaTop.html
決定後、すぐにガチャが実行されマギアストーンが消費されます。			1	template/gacha/GachaTop.html
選べる魔法少女一覧			1	template/gacha/GachaTop.html
選べる★4メモリア一覧			1	template/gacha/GachaTop.html
※表示されているステータスはLv最大(4回限界突破)時のものです。			1	template/gacha/GachaTop.html
変更するメモリアを選択してください			1	template/gacha/SelectableGachaPieceSelect.html
タッチしてガチャ対象のメモリアを選んで下さい			1	template/gacha/SelectableGachaPieceSelect.html
※表示されているステータスは最大時のものです。			1	template/gacha/SelectableGachaPieceSelect.html
マギアストーンの販売は終了いたしました。			1	template/purchase/PurchasePop.html
詳しくは以下のお知らせをご確認ください。			1	template/purchase/PurchasePop.html
・【重要】サービス終了のお知らせ			1	template/purchase/PurchasePop.html
・【重要】「有償マギアストーン」の払戻し手続きのお知らせ			1	template/purchase/PurchasePop.html
有料アイテムを購入するには年齢認証が必要です。			1	template/purchase/PurchaseTemps.html
1カ月あたりの限度額は15歳以下が5,000			1	template/purchase/PurchaseTemps.html
DMMポイント、			1	template/purchase/PurchaseTemps.html
が30,000			1	template/purchase/PurchaseTemps.html
DMMポイント			1	template/purchase/PurchaseTemps.html
です。			1	template/purchase/PurchaseTemps.html
未成年の方は保護者の同意を得て下さい。		法条勿动	1	template/purchase/PurchaseTemps.html
この登録は1度のみで次回は不要です。			1	template/purchase/PurchaseTemps.html
また、登録情報は年齢確認以外に使用しません。			1	template/purchase/PurchaseTemps.html
年齢認証へ			1	template/purchase/PurchaseTemps.html
お客様の生年月日を入力してください。			1	template/purchase/PurchaseTemps.html
覚醒素材セット			1	template/chara/CharaBulkCustomizePopup.html
全ての素材をまとめてセットします。			1	template/chara/CharaBulkCustomizePopup.html
マギア強化			1	template/chara/CharaComposeMagia.html
まとめて			1	template/chara/CharaCustomize.html
能力は既に解放済みです			1	template/chara/CharaEnhancementTree.html
解放可能数の上限に達しています			1	template/chara/CharaEnhancementTree.html
メモリア枠			1	template/chara/CharaLimitBreakParts.html
余ったデスティニージェムは			1	template/chara/CharaLimitBreakParts.html
マギアチップに変換できます			1	template/chara/CharaLimitBreakParts.html
使用する			1	template/chara/CharaLimitBreakParts.html
イノセント・ジェムは貴重なアイテムです。			1	template/chara/CharaLimitBreakParts.html
本当によろしいですか？			1	template/chara/CharaLimitBreakParts.html
マギア強化素材確認			1	template/chara/CharaMagiaComposePopup.html
まとめて解放			1	template/chara/CharaComposeAttribute/ComposeAttributeList.html
属性全員のステータスがアップ！			1	template/chara/CharaComposeAttribute/popupAllItemConfirm.html
属性全員の			1	template/chara/CharaComposeAttribute/popupItemConfirm.html
アップ！			1	template/chara/CharaComposeAttribute/popupItemConfirm.html
ログイン			1	template/loginBonus/loginBonusCampaignPopupTemp.html
サポートボーナス			1	template/loginBonus/loginBonusPopupTemp.html
マギアパスポート			1	template/loginBonus/loginBonusPopupTemp.html
Day1から7日間経過すると次のログインボーナスに切り替わります			1	template/loginBonus/loginBonusPopupTemp.html
ログインボーナスで貰ったアイテムは直接付与されます			1	template/loginBonus/loginBonusPopupTemp.html
購入しました。			1	template/shop/ShopTop.html
※プレゼントボックスよりお受け取りください。			1	template/shop/ShopTop.html
※購入したアイテムは直接付与されています。			1	template/shop/ShopTop.html
強化トップに戻る			1	template/memoria/MemoriaComposeAnimation.html
メモリア限界突破			1	template/memoria/MemoriaComposeTop.html
アイテム			1	template/memoria/MemoriaComposeTop.html
タッチして素材メモリアを選んでください			1	template/memoria/MemoriaComposeTop.html
アイテム素材を使用して強化します			1	template/memoria/MemoriaComposeTop.html
★1・★2			1	template/memoria/MemoriaComposeTop.html
獲得できるEXP			1	template/memoria/MemoriaComposeTop.html
メモリアを			1	template/memoria/MemoriaComposeTop.html
します。よろしいですか？			1	template/memoria/MemoriaComposeTop.html
装備中のメモリアは素材メモリアとして使用できません。			1	template/memoria/MemoriaComposeTop.html
メモリアをセットする枠を選択してください			1	template/memoria/MemoriaEquip.html
編集したいセットを選んでください			1	template/memoria/MemoriaSetList.html
セット編集			1	template/memoria/MemoriaSetList.html
メモリアセット名入力			1	template/memoria/MemoriaSetList.html
メモリアセット名を入力してください			1	template/memoria/MemoriaSetList.html
売却する場所を選択			1	template/memoria/MemoriaTop.html
一覧を表示する保管庫を選択			1	template/memoria/MemoriaTop.html
移動したいメモリアを選び、決定ボタンで移動先を決めてください			1	template/memoria/PieceArchive.html
装備中のメモリアは保管庫への移動はできません。			1	template/memoria/PieceArchive.html
移動する場所を選択			1	template/memoria/PieceArchive.html
強化アイテム			1	template/memoria/UserMemoriaList.html
装備中のメモリアは売却できません。			1	template/memoria/UserMemoriaList.html
装備を外して選択中の装備枠に装備しますか？			1	template/memoria/UserMemoriaList.html
枚のメモリアを			1	template/memoria/UserMemoriaList.html
CCで売却します。			1	template/memoria/UserMemoriaList.html
チェックをつけた項目のみ選択します			1	template/memoria/bulkSelectPopupView.html
ロックなし			1	template/memoria/bulkSelectPopupView.html
アビリティ			1	template/memoria/bulkSelectPopupView.html
イベント			1	template/memoria/bulkSelectPopupView.html
選択する			1	template/memoria/bulkSelectPopupView.html
レンタル解除			1	template/formation/DeckFormation.html
チーム切り替え			1	template/formation/FormationQuest.html
入れ替えたい魔法少女をタッチしてください			1	template/formation/FormationQuest.html
チーム詳細			1	template/formation/FormationQuest.html
プレビュー			1	template/formation/FormationQuest.html
各属性のサポートキャラを設定してください			1	template/formation/FormationSupport.html
サポート解散			1	template/formation/FormationSupport.html
サポート詳細			1	template/formation/FormationSupport.html
制圧中の結界名をタップすることで制圧状態を解除できます			1	template/regularEvent/extermination/RegularEventExterminationBattleSelect.html
全クリア			1	template/regularEvent/extermination/RegularEventExterminationTop.html
クリア済みのステージに再度挑戦できます			1	template/regularEvent/extermination/RegularEventExterminationTop.html
クリア済みのステージにもう一度挑戦できるようになりました			1	template/regularEvent/extermination/RegularEventExterminationTop.html
グループ戦			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
攻略のヒント			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
グループ順位			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
「いいね」			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
をして		疑似碎片	1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
を獲得！			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
次のグレードまで			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
最高グレードに到達しました			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
前回ダメージ			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
ショップ			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
引継ぎMP			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
キモチ戦の挑戦回数が回復しました。			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
前日のデイリーダメージ			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
の評価			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
を獲得しました。			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
が出現！			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
】グレードに達しました！			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
次のグレードまでの必要GPは			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
最高グレードへ到達しました			1	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html
グループバトル終了			1	template/regularEvent/groupBattle/RegularEventGroupBattleEnd.html
最終グレード			1	template/regularEvent/groupBattle/RegularEventGroupBattleEnd.html
到達グレード報酬			1	template/regularEvent/groupBattle/RegularEventGroupBattleEnd.html
グループバトルミッション			1	template/regularEvent/groupBattle/RegularEventGroupBattleMission.html
トータル			1	template/regularEvent/groupBattle/RegularEventGroupBattleRanking.html
自分の順位			1	template/regularEvent/groupBattle/RegularEventGroupBattleRanking.html
キモチ撃退数			1	template/regularEvent/groupBattle/RegularEventGroupBattleRanking.html
ボスLvボーナス			1	template/regularEvent/groupBattle/RegularEventGroupBattleResult.html
バトル評価ボーナス			1	template/regularEvent/groupBattle/RegularEventGroupBattleResult.html
引き継ぎチャージ数			1	template/regularEvent/groupBattle/RegularEventGroupBattleResult.html
獲得メダル			1	template/regularEvent/groupBattle/RegularEventGroupBattleResult.html
合計補助ダメージ			1	template/regularEvent/groupBattle/RegularEventGroupBattleResult.html
合計攻撃ダメージ			1	template/regularEvent/groupBattle/RegularEventGroupBattleResult.html
スキル数			1	template/regularEvent/groupBattle/RegularEventGroupBattleResult.html
攻撃ダメージ			1	template/regularEvent/groupBattle/RegularEventGroupBattleResult.html
グループTOP			1	template/regularEvent/groupBattle/RegularEventGroupBattleUnionLog.html
グループメンバー			1	template/regularEvent/groupBattle/RegularEventGroupBattleUser.html
自分へ移動			1	template/regularEvent/groupBattle/RegularEventGroupBattleUser.html
キモチの最大Lv			1	template/regularEvent/groupBattle/RegularEventGroupBattleUser.html
グループ内の順位			1	template/regularEvent/groupBattle/RegularEventGroupBattleUser.html
新しく設定するグループ名を入力してください。			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
※グループ名は何度でも変更可能です			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
ミッション報酬			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
受け取る			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
キモチ		疑似碎片	1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
ダメージ報酬			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
所属グループ			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
グループ内			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
自分の所有 GP			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
自分のデイリーダメージ			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
グループグレード			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
前日のデイリーダメージに基づいてグループ内順位が確定しました。			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
キモチ戦で所属するグループが決定しました。			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
前日のグループ内順位が1位のユーザーはグループ名を変更することが可能です。			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
1日1回、グループメンバーに			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
を送ることで、引き継ぎMPを			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
獲得できます			1	template/regularEvent/groupBattle/RegularEventGroupCommon.html
クリア演出			1	template/regularEvent/accomplish/RegularEventAccomplishTop.html
解放済ステージ：			1	template/regularEvent/accomplish/RegularEventAccomplishTop.html
挑戦する			1	template/regularEvent/accomplish/RegularEventAccomplishTop.html
最高ステージに到達しています			1	template/regularEvent/accomplish/RegularEventAccomplishTop.html
更新をお待ちください			1	template/regularEvent/accomplish/RegularEventAccomplishTop.html
オールクリア			1	template/regularEvent/accomplish/RegularEventAccomplishTop.html
